Date : 2026-03-24 00:23:29
Directory : /Users/nssanjeev/Documents/cosmi
Total : 75 files,  18169 codes, 485 comments, 1896 blanks, all 20550 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     10,035 |          0 |          2 |     10,037 |
| TypeScript JSX     |         42 |      7,199 |        434 |      1,663 |      9,296 |
| TypeScript         |         19 |        595 |         36 |        171 |        802 |
| PostCSS            |          1 |        218 |         12 |         37 |        267 |
| JavaScript         |          4 |         52 |          3 |          8 |         63 |
| JSON with Comments |          1 |         42 |          0 |          1 |         43 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         75 |     18,169 |        485 |      1,896 |     20,550 |
| . (Files)                                                                                 |         10 |     10,168 |          6 |         31 |     10,205 |
| app                                                                                       |         51 |      7,882 |        470 |      1,838 |     10,190 |
| app (Files)                                                                               |          6 |        561 |         36 |         87 |        684 |
| app/api                                                                                   |          7 |        454 |         24 |        137 |        615 |
| app/api/create-public-link                                                                |          1 |         50 |          2 |         12 |         64 |
| app/api/paypal-capture                                                                    |          1 |        133 |          9 |         41 |        183 |
| app/api/paypal-checkout                                                                   |          1 |         77 |          3 |         24 |        104 |
| app/api/public-invoice                                                                    |          1 |         27 |          0 |          7 |         34 |
| app/api/public-invoice/close                                                              |          1 |         27 |          0 |          7 |         34 |
| app/api/razorpay-checkout                                                                 |          2 |        139 |          9 |         43 |        191 |
| app/api/razorpay-checkout/order                                                           |          1 |         27 |          0 |          7 |         34 |
| app/api/razorpay-checkout/success                                                         |          1 |        112 |          9 |         36 |        157 |
| app/api/send-reminder                                                                     |          1 |         28 |          1 |         10 |         39 |
| app/company                                                                               |          1 |        266 |         10 |         44 |        320 |
| app/components                                                                            |          7 |        405 |         39 |         58 |        502 |
| app/components (Files)                                                                    |          6 |        358 |         33 |         52 |        443 |
| app/components/hero                                                                       |          1 |         47 |          6 |          6 |         59 |
| app/dashboard                                                                             |          6 |      2,074 |         89 |        495 |      2,658 |
| app/dashboard (Files)                                                                     |          2 |        870 |         46 |        178 |      1,094 |
| app/dashboard/clients                                                                     |          2 |        356 |         12 |        101 |        469 |
| app/dashboard/clients (Files)                                                             |          1 |        325 |         12 |         90 |        427 |
| app/dashboard/clients/[id]                                                                |          1 |         31 |          0 |         11 |         42 |
| app/dashboard/invoices                                                                    |          2 |        848 |         31 |        216 |      1,095 |
| app/dashboard/invoices (Files)                                                            |          1 |        394 |          7 |         88 |        489 |
| app/dashboard/invoices/[id]                                                               |          1 |        454 |         24 |        128 |        606 |
| app/invoice                                                                               |          1 |        592 |         35 |        167 |        794 |
| app/invoice-editor                                                                        |          5 |      1,672 |        105 |        422 |      2,199 |
| app/invoice-editor (Files)                                                                |          2 |        454 |         23 |        100 |        577 |
| app/invoice-editor/components                                                             |          2 |        944 |         48 |        238 |      1,230 |
| app/invoice-editor/components/invoice                                                     |          2 |        944 |         48 |        238 |      1,230 |
| app/invoice-editor/hooks                                                                  |          1 |        274 |         34 |         84 |        392 |
| app/invoice/[id]                                                                          |          1 |        592 |         35 |        167 |        794 |
| app/payment-success                                                                       |          1 |         30 |          0 |         13 |         43 |
| app/pricing                                                                               |          1 |        118 |          8 |         23 |        149 |
| app/profile                                                                               |          5 |        738 |         41 |        147 |        926 |
| app/profile (Files)                                                                       |          1 |        311 |         14 |         62 |        387 |
| app/profile/components                                                                    |          4 |        427 |         27 |         85 |        539 |
| app/providers                                                                             |          4 |        538 |         57 |        168 |        763 |
| app/signin                                                                                |          1 |        184 |         11 |         24 |        219 |
| app/signout                                                                               |          1 |         19 |          1 |          5 |         25 |
| app/signup                                                                                |          2 |        175 |         14 |         34 |        223 |
| app/signup (Files)                                                                        |          1 |         73 |          3 |         14 |         90 |
| app/signup/company                                                                        |          1 |        102 |         11 |         20 |        133 |
| app/test-auth                                                                             |          1 |         12 |          0 |          4 |         16 |
| app/test-firestore                                                                        |          1 |         33 |          0 |          9 |         42 |
| app/utils                                                                                 |          1 |         11 |          0 |          1 |         12 |
| lib                                                                                       |          8 |         97 |          9 |         25 |        131 |
| public                                                                                    |          5 |          5 |          0 |          0 |          5 |
| types                                                                                     |          1 |         17 |          0 |          2 |         19 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/nssanjeev/Documents/cosmi/README.md                                                | Markdown           |         23 |          0 |         14 |         37 |
| /Users/nssanjeev/Documents/cosmi/app/ProvidersWrapper.tsx                                 | TypeScript JSX     |         26 |          0 |          6 |         32 |
| /Users/nssanjeev/Documents/cosmi/app/api/create-public-link/route.ts                      | TypeScript         |         50 |          2 |         12 |         64 |
| /Users/nssanjeev/Documents/cosmi/app/api/paypal-capture/route.ts                          | TypeScript         |        133 |          9 |         41 |        183 |
| /Users/nssanjeev/Documents/cosmi/app/api/paypal-checkout/route.ts                         | TypeScript         |         77 |          3 |         24 |        104 |
| /Users/nssanjeev/Documents/cosmi/app/api/public-invoice/close/route.ts                    | TypeScript         |         27 |          0 |          7 |         34 |
| /Users/nssanjeev/Documents/cosmi/app/api/razorpay-checkout/order/route.ts                 | TypeScript         |         27 |          0 |          7 |         34 |
| /Users/nssanjeev/Documents/cosmi/app/api/razorpay-checkout/success/route.ts               | TypeScript         |        112 |          9 |         36 |        157 |
| /Users/nssanjeev/Documents/cosmi/app/api/send-reminder/route.ts                           | TypeScript         |         28 |          1 |         10 |         39 |
| /Users/nssanjeev/Documents/cosmi/app/company/page.tsx                                     | TypeScript JSX     |        266 |         10 |         44 |        320 |
| /Users/nssanjeev/Documents/cosmi/app/components/Avatar.tsx                                | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/nssanjeev/Documents/cosmi/app/components/CosmiLoader.tsx                           | TypeScript JSX     |         27 |          0 |          2 |         29 |
| /Users/nssanjeev/Documents/cosmi/app/components/RedirectIfAuth.tsx                        | TypeScript JSX     |         21 |          4 |          6 |         31 |
