Date : 2026-03-22 01:27:25
Directory : /Users/nssanjeev/Documents/cosmi
Total : 72 files,  16546 codes, 462 comments, 1778 blanks, all 18786 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      8,741 |          0 |          2 |      8,743 |
| TypeScript JSX     |         42 |      7,004 |        416 |      1,580 |      9,000 |
| TypeScript         |         16 |        474 |         31 |        138 |        643 |
| PostCSS            |          1 |        205 |         12 |         35 |        252 |
| JavaScript         |          4 |         52 |          3 |          8 |         63 |
| JSON with Comments |          1 |         42 |          0 |          1 |         43 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         72 |     16,546 |        462 |      1,778 |     18,786 |
| . (Files)                                                                                 |         10 |      8,874 |          6 |         31 |      8,911 |
| app                                                                                       |         49 |      7,570 |        448 |      1,726 |      9,744 |
| app (Files)                                                                               |          6 |        548 |         36 |         85 |        669 |
| app/api                                                                                   |          5 |        350 |         20 |        110 |        480 |
| app/api/paypal-capture                                                                    |          1 |        133 |          9 |         41 |        183 |
| app/api/paypal-checkout                                                                   |          1 |         77 |          3 |         24 |        104 |
| app/api/razorpay-checkout                                                                 |          2 |        112 |          7 |         35 |        154 |
| app/api/razorpay-checkout/order                                                           |          1 |         26 |          0 |          6 |         32 |
| app/api/razorpay-checkout/success                                                         |          1 |         86 |          7 |         29 |        122 |
| app/api/send-reminder                                                                     |          1 |         28 |          1 |         10 |         39 |
| app/company                                                                               |          1 |        266 |         10 |         44 |        320 |
| app/components                                                                            |          7 |        405 |         39 |         58 |        502 |
| app/components (Files)                                                                    |          6 |        358 |         33 |         52 |        443 |
| app/components/hero                                                                       |          1 |         47 |          6 |          6 |         59 |
| app/dashboard                                                                             |          6 |      2,074 |         89 |        495 |      2,658 |
| app/dashboard (Files)                                                                     |          2 |        870 |         46 |        178 |      1,094 |
| app/dashboard/clients                                                                     |          2 |        356 |         12 |        101 |        469 |
| app/dashboard/clients (Files)                                                             |          1 |        325 |         12 |         90 |        427 |
| app/dashboard/clients/[id]                                                                |          1 |         31 |          0 |         11 |         42 |
| app/dashboard/invoices                                                                    |          2 |        848 |         31 |        216 |      1,095 |
| app/dashboard/invoices (Files)                                                            |          1 |        394 |          7 |         88 |        489 |
