Date : 2026-03-26 01:43:16
Directory : /Users/nssanjeev/Documents/cosmi
Total : 75 files,  18896 codes, 511 comments, 2058 blanks, all 21465 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     10,080 |          0 |          2 |     10,082 |
| TypeScript JSX     |         42 |      7,855 |        460 |      1,821 |     10,136 |
| TypeScript         |         19 |        595 |         36 |        171 |        802 |
| PostCSS            |          1 |        244 |         12 |         41 |        297 |
| JavaScript         |          4 |         52 |          3 |          8 |         63 |
| JSON with Comments |          1 |         42 |          0 |          1 |         43 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         75 |     18,896 |        511 |      2,058 |     21,465 |
| . (Files)                                                                                 |         10 |     10,213 |          6 |         31 |     10,250 |
| app                                                                                       |         51 |      8,564 |        496 |      2,000 |     11,060 |
| app (Files)                                                                               |          6 |        590 |         36 |         92 |        718 |
| app/api                                                                                   |          7 |        454 |         24 |        137 |        615 |
| app/api/create-public-link                                                                |          1 |         50 |          2 |         12 |         64 |
| app/api/paypal-capture                                                                    |          1 |        133 |          9 |         41 |        183 |
| app/api/paypal-checkout                                                                   |          1 |         77 |          3 |         24 |        104 |
| app/api/public-invoice                                                                    |          1 |         27 |          0 |          7 |         34 |
| app/api/public-invoice/close                                                              |          1 |         27 |          0 |          7 |         34 |
| app/api/razorpay-checkout                                                                 |          2 |        139 |          9 |         43 |        191 |
| app/api/razorpay-checkout/order                                                           |          1 |         27 |          0 |          7 |         34 |
| app/api/razorpay-checkout/success                                                         |          1 |        112 |          9 |         36 |        157 |
| app/api/send-reminder                                                                     |          1 |         28 |          1 |         10 |         39 |
| app/company                                                                               |          1 |        266 |         10 |         44 |        320 |
| app/components                                                                            |          7 |        405 |         39 |         58 |        502 |
| app/components (Files)                                                                    |          6 |        358 |         33 |         52 |        443 |
| app/components/hero                                                                       |          1 |         47 |          6 |          6 |         59 |
| app/dashboard                                                                             |          6 |      2,164 |         92 |        528 |      2,784 |
| app/dashboard (Files)                                                                     |          2 |        892 |         49 |        194 |      1,135 |
| app/dashboard/clients                                                                     |          2 |        356 |         12 |        101 |        469 |
| app/dashboard/clients (Files)                                                             |          1 |        325 |         12 |         90 |        427 |
| app/dashboard/clients/[id]                                                                |          1 |         31 |          0 |         11 |         42 |
| app/dashboard/invoices                                                                    |          2 |        916 |         31 |        233 |      1,180 |
| app/dashboard/invoices (Files)                                                            |          1 |        462 |          7 |        105 |        574 |
| app/dashboard/invoices/[id]                                                               |          1 |        454 |         24 |        128 |        606 |
| app/invoice                                                                               |          1 |        592 |         35 |        167 |        794 |
| app/invoice-editor                                                                        |          5 |      2,121 |        132 |        518 |      2,771 |
| app/invoice-editor (Files)                                                                |          2 |        770 |         33 |        149 |        952 |
| app/invoice-editor/components                                                             |          2 |      1,047 |         60 |        265 |      1,372 |
| app/invoice-editor/components/invoice                                                     |          2 |      1,047 |         60 |        265 |      1,372 |
| app/invoice-editor/hooks                                                                  |          1 |        304 |         39 |        104 |        447 |
| app/invoice/[id]                                                                          |          1 |        592 |         35 |        167 |        794 |
| app/onboarding                                                                            |          1 |        121 |          4 |         27 |        152 |
| app/payment-success                                                                       |          1 |         30 |          0 |         13 |         43 |
| app/pricing                                                                               |          1 |        118 |          8 |         23 |        149 |
| app/profile                                                                               |          5 |        738 |         41 |        147 |        926 |
| app/profile (Files)                                                                       |          1 |        311 |         14 |         62 |        387 |
| app/profile/components                                                                    |          4 |        427 |         27 |         85 |        539 |
| app/providers                                                                             |          4 |        546 |         58 |        174 |        778 |
| app/signin                                                                                |          1 |        184 |         11 |         24 |        219 |
| app/signout                                                                               |          1 |         19 |          1 |          5 |         25 |
| app/signup                                                                                |          1 |        160 |          5 |         29 |        194 |
| app/test-auth                                                                             |          1 |         12 |          0 |          4 |         16 |
| app/test-firestore                                                                        |          1 |         33 |          0 |          9 |         42 |
| app/utils                                                                                 |          1 |         11 |          0 |          1 |         12 |
| lib                                                                                       |          8 |         97 |          9 |         25 |        131 |
| public                                                                                    |          5 |          5 |          0 |          0 |          5 |
| types                                                                                     |          1 |         17 |          0 |          2 |         19 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/nssanjeev/Documents/cosmi/README.md                                                | Markdown           |         23 |          0 |         14 |         37 |
| /Users/nssanjeev/Documents/cosmi/app/ProvidersWrapper.tsx                                 | TypeScript JSX     |         26 |          0 |          6 |         32 |
| /Users/nssanjeev/Documents/cosmi/app/api/create-public-link/route.ts                      | TypeScript         |         50 |          2 |         12 |         64 |
| /Users/nssanjeev/Documents/cosmi/app/api/paypal-capture/route.ts                          | TypeScript         |        133 |          9 |         41 |        183 |
| /Users/nssanjeev/Documents/cosmi/app/api/paypal-checkout/route.ts                         | TypeScript         |         77 |          3 |         24 |        104 |
| /Users/nssanjeev/Documents/cosmi/app/api/public-invoice/close/route.ts                    | TypeScript         |         27 |          0 |          7 |         34 |
